seed,arm,step_sessions,rebalances,scheduled_rebalances,gross_sharpe,net_sharpe_10bp,annualised_turnover,cost_share_of_gross,net_max_drawdown,gross_max_drawdown,gross_total_return,net_total_return,gross_cagr,net_cagr,holding_duration_rebalances,holding_duration_sessions,names_changed_per_rebalance,long_leg_retention,short_leg_retention,names_replaced_both_legs_fraction,effective_n_long,effective_n_short,max_abs_weight,mean_eligible_names,signal_age_median_sessions,signal_age_p95_sessions,signal_age_max_sessions,share_signals_older_than_nominal,nominal_max_signal_age,net_sharpe_1bp,cost_share_of_gross_1bp,net_sharpe_3bp,cost_share_of_gross_3bp,net_sharpe_5bp,cost_share_of_gross_5bp,cost_share_of_gross_10bp,net_sharpe_20bp,cost_share_of_gross_20bp
0,B1,21,96,96,0.7843288908283712,0.7311257201483244,2.3541836734693877,0.0678450570535748,-0.09415209656559986,-0.08667782149683612,0.8366872620557412,1.0385694072418592,0.1008425879250816,0.09311458209902201,4.773281596452328,100.2389135254989,18.989473684210527,0.8303264817587779,0.7883343840968884,0.19066956707216698,49.78125,49.8125,0.010869565217391304,248.22916666666666,7.0,9.0,644,0.007679395719681075,9,0.7628711980611287,0.027327833432091355,0.7558172622706936,0.03633166090353212,0.7487629701877372,0.04533548837497289,0.0678450570535748,0.6958450219470965,0.11286419441077863
1,B1,21,96,96,0.7901030948367112,0.7431124225077724,2.356454081632653,0.0593075434491787,-0.10955336950237438,-0.10642220122149271,0.9591418449147053,1.262172272366254,0.11527150764394811,0.1074285340309653,4.809523809523809,101.0,19.010526315789473,0.8329045578794347,0.7853143728887434,0.19089053461591074,49.78125,49.8125,0.010869565217391304,248.22916666666666,7.0,9.0,644,0.007679395719681075,9,0.7711156946663241,0.023929107031854212,0.7648926960592165,0.03179098179125965,0.7586697220981138,0.0396528565506651,0.0593075434491787,0.7119986256837988,0.09861691724620592
2,B1,21,96,96,0.9063816734435214,0.8473230154377758,2.2864795918367347,0.06485281703455596,-0.09998438210135818,-0.09278009493787942,0.8518350011047279,1.0994370862757434,0.10469179540822005,0.09714204385966974,4.970857142857143,104.38799999999999,18.42105263157895,0.8344194860085324,0.7957481903516552,0.18491616181990592,49.78125,49.8125,0.010869565217391304,248.22916666666666,7.0,9.0,644,0.007679395719681075,9,0.8824959924513324,0.026200606125461115,0.8746792237086951,0.03478998632748219,0.8668627639666859,0.04337936652950327,0.06485281703455596,0.8082499178339613,0.10779971804466135
3,B1,21,96,96,0.7719487556617699,0.7066588811350387,2.3642346938775507,0.0842990567576573,-0.11354065851198647,-0.10983823585409735,0.6774235810981372,0.7730936195214426,0.08186967313308458,0.07421560832974139,4.804635761589404,100.89735099337749,19.073684210526316,0.8257357772652857,0.7912599122028675,0.19150215526592348,49.78125,49.8125,0.010869565217391304,248.22916666666666,7.0,9.0,644,0.007679395719681075,9,0.745574278195189,0.03404249566090872,0.7369257356232661,0.04521062034907507,0.7282775710834977,0.056378745037241426,0.0842990567576573,0.6634294246912019,0.14013968019848902
4,B1,21,96,96,0.6549019115636916,0.6105724274314556,2.341479591836735,0.0675311635140964,-0.1313444838329958,-0.12589814055350323,0.8361497832547683,0.992666831483985,0.09767987797651179,0.09000712426016877,4.855629877369008,101.96822742474917,18.88421052631579,0.8308033768841293,0.7899609038123256,0.18961785965177252,49.78125,49.8125,0.010869565217391304,248.22916666666666,7.0,9.0,644,0.007679395719681075,9,0.6370407009496002,0.027206682425071717,0.6311586069012477,0.036167678222632754,0.6252766561153749,0.0451286740201938,0.0675311635140964,0.5811669224293331,0.11233614250190158
5,B1,21,96,96,0.47773526434892255,0.4122661392048225,2.3077040816326533,0.1367471243584713,-0.12508369968447686,-0.12015555648529708,0.4078767817775028,0.3607516599022056,0.046507486270202625,0.039255565844310336,4.920203735144312,103.32427843803056,18.6,0.8361107991665433,0.790359174333349,0.1867650132500539,49.78125,49.8125,0.010869565217391304,248.22916666666666,7.0,9.0,644,0.007679395719681075,9,0.45126333545756675,0.0552741397215627,0.4425963054166184,0.07337924741865351,0.4339298299486076,0.09148435511574432,0.1367471243584713,0.3689500426572445,0.2272726628439253
6,B1,21,96,96,0.7082793306002354,0.6438855980610434,2.3127040816326527,0.09045540408636663,-0.12431920734232427,-0.12057507473575846,0.6184987483373756,0.6747766223926106,0.07403477732705044,0.06658288695936698,4.878599661208357,102.4505928853755,18.642105263157895,0.8304409682856542,0.7952497937390057,0.18715461898767005,49.78125,49.8125,0.010869565217391304,248.22916666666666,7.0,9.0,644,0.007679395719681075,9,0.6822047333264062,0.03661060833692676,0.6736879103948931,0.048576118503468955,0.665171912638395,0.06054162867001114,0.09045540408636663,0.6013293026190621,0.1502829549190776
7,B1,21,96,96,0.7721399838226586,0.7122694629203267,2.3428316326530614,0.07724002329268478,-0.08681404187171571,-0.07933084844217131,0.7321028305154983,0.8604638992312537,0.08831553699538408,0.080693790072625,4.828969359331476,101.408356545961,18.894736842105264,0.824430982140166,0.7961365681283955,0.1897162248657192,49.78125,49.8125,0.010869565217391304,248.22916666666666,7.0,9.0,644,0.007679395719681075,9,0.7479676621304301,0.031158005707192196,0.7400341446739886,0.04139845405952387,0.732100953892993,0.051638902411855564,0.07724002329268478,0.6726133086692994,0.1284422650543432
8,B1,21,96,96,0.6569400711112902,0.5945038812636393,2.3326020408163264,0.09479834711616576,-0.13663593655684458,-0.13247277808296343,0.5935059225292258,0.6277164939558584,0.0702570124144497,0.06278972136889949,4.888640179071069,102.66144376049245,18.810526315789474,0.833808268523827,0.7885550288765388,0.1888183512998169,49.78125,49.8125,0.010869565217391304,248.22916666666666,7.0,9.0,644,0.007679395719681075,9,0.6317780180644131,0.03820334424810075,0.6234942128788088,0.050780011552115194,0.6152107793042756,0.06335667885612965,0.09479834711616576,0.553097796527848,0.15768168363623797
9,B1,21,96,96,0.4704964495454175,0.40669768593557387,2.325204081632653,0.13534335079663437,-0.15027046351929396,-0.14664355266193374,0.4153347375994822,0.36615191240883016,0.04708266430156205,0.03977021911113199,4.87871982032566,102.45311622683886,18.74736842105263,0.8305986373029177,0.7929795684864336,0.1882108971053244,49.78125,49.8125,0.010869565217391304,248.22916666666666,7.0,9.0,644,0.007679395719681075,9,0.4446877615087537,0.05472659581718777,0.4362447678547184,0.07264143025706479,0.4278021971642932,0.09055626469694184,0.13534335079663437,0.3644973987278809,0.2249175229960195
