seed,arm,fold,periods,first_date,last_date,gross_return_annualised,net_return_annualised,net_sharpe,annualised_turnover,mean_cost_bp
1,B0,3,50,2020-05-12,2021-05-03,0.18651316206556068,0.1669028962821152,1.623678825040832,6.4007999999999985,3.8909257506836354
1,B0,4,50,2021-05-10,2022-04-28,-0.05545403882735286,-0.07448039066765895,-0.7661988027273845,6.25350857142857,3.7750698095845445
1,B0,5,51,2022-05-05,2023-05-04,0.08694565698087066,0.06681294690504587,0.24840937662041113,6.532235294117647,3.9945853325049154
1,B0,6,50,2023-05-11,2024-05-02,0.03032950500372472,0.010646901428385399,0.12427016782665438,6.4008,3.9052784871705035
1,B0,7,51,2024-05-09,2025-05-09,0.14796248948748628,0.1282289926690891,1.3306971753694172,6.561882352941175,3.915376352856582
1,B1,0,12,2017-05-12,2018-04-13,-0.012990062317013558,-0.022440962545347568,-0.4525411287835455,2.96,7.875750190278336
1,B1,1,12,2018-05-14,2019-04-15,0.078854378554042,0.07175336606853985,0.8419737711409984,2.3173469387755103,5.917510404585129
1,B1,2,12,2019-05-15,2020-04-14,0.09411167216873945,0.0868563087433256,1.324274731366482,2.3442857142857148,6.046136187844841
1,B1,3,12,2020-05-13,2021-04-14,0.24756505363789644,0.24163470465513948,1.7891427392515733,2.0,4.941957485630864
1,B1,4,12,2021-05-13,2022-04-12,0.02489754421400682,0.018354002977673936,0.14555308713410278,2.21,5.4529510302774105
1,B1,5,12,2022-05-12,2023-04-14,0.5200932238929901,0.5135458015744088,1.553906824311268,2.23,5.456185265484312
1,B1,6,12,2023-05-15,2024-04-16,-0.05123090071308492,-0.05804128840180997,-0.6433271704359618,2.29,5.675323073937532
1,B1,7,12,2024-05-15,2025-04-17,0.057840935477128985,0.05059556520157078,0.46969086489888945,2.5000000000000004,6.037808562965157
2,B0,0,50,2017-05-12,2018-05-03,-0.02123333151258697,-0.04579799992183135,-0.9791650872756523,7.520502857142856,4.873942144691345
2,B0,1,50,2018-05-10,2019-05-02,0.09339625271493693,0.07220499894891914,0.8310708725290593,6.510034285714286,4.204613842463848
2,B0,2,51,2019-05-09,2020-05-05,0.07211805878123169,0.044716526137280506,0.3910632693553859,8.677109243697476,5.436812032529992
2,B0,3,50,2020-05-12,2021-05-03,0.20028519176063542,0.18081947991330352,1.6738222719813367,6.330239999999998,3.8622444141531553
2,B0,4,50,2021-05-10,2022-04-28,-0.11307324095076017,-0.132023247478487,-1.3829938289226995,6.2327314285714275,3.759921930104534
2,B0,5,51,2022-05-05,2023-05-04,0.1481460729538769,0.12796858244784218,0.48594390465816345,6.561882352941175,4.003470338498955
2,B0,6,50,2023-05-11,2024-05-02,0.011998626658658959,-0.007708346489675562,-0.08179217835883966,6.4008,3.9101137199076472
2,B0,7,51,2024-05-09,2025-05-09,0.09658492662992532,0.07673272341687482,0.8477994041554179,6.571764705882352,3.9389292089385854
2,B1,0,12,2017-05-12,2018-04-13,-0.014057755306771842,-0.02294130640557457,-0.5029668340086775,2.7600000000000002,7.402959249002269
2,B1,1,12,2018-05-14,2019-04-15,0.060163014294862385,0.053259256560497174,0.7733272702485303,2.2477551020408164,5.753131445304363
