seed,metric,b0,b1,difference_b1_minus_b0
2,net_sharpe_5bp,0.36716769530055815,0.8668627639666859,0.4996950686661278
2,cost_share_of_gross_5bp,0.23741769295470516,0.04337936652950327,-0.19403832642520188
2,cost_share_of_gross_10bp,0.34911562966965914,0.06485281703455596,-0.28426281263510317
2,net_sharpe_20bp,0.20575273184581408,0.8082499178339613,0.6024971859881472
2,cost_share_of_gross_20bp,0.5725115030995672,0.10779971804466135,-0.46471178505490585
3,rebalances,403.0,96.0,-307.0
3,scheduled_rebalances,403.0,96.0,-307.0
3,gross_sharpe,0.4921275612098619,0.7719487556617699,0.279821194451908
3,net_sharpe_10bp,0.3291510650149212,0.7066588811350387,0.3775078161201175
3,annualised_turnover,6.911540588443815,2.3642346938775507,-4.547305894566264
3,cost_share_of_gross,0.3309714898758867,0.0842990567576573,-0.2466724331182294
3,net_max_drawdown,-0.2128127601720644,-0.11354065851198647,0.09927210166007794
3,gross_max_drawdown,-0.20402640550939632,-0.10983823585409735,0.09418816965529897
3,gross_total_return,0.5210632211585099,0.6774235810981372,0.15636035993962727
3,net_total_return,0.32204781822492534,0.7730936195214426,0.4510458012965173
3,gross_cagr,0.05809653252926328,0.08186967313308458,0.023773140603821297
3,net_cagr,0.03553174488951005,0.07421560832974139,0.038683863440231336
3,holding_duration_rebalances,7.377083732515808,4.804635761589404,-2.5724479709264036
3,holding_duration_sessions,36.88541866257904,100.89735099337749,64.01193233079844
3,names_changed_per_rebalance,12.982587064676617,19.073684210526316,6.0910971458497
3,long_leg_retention,0.8707510660302462,0.8257357772652857,-0.045015288764960526
3,short_leg_retention,0.8641663048980713,0.7912599122028675,-0.07290639269520383
3,names_replaced_both_legs_fraction,0.1325413145358413,0.19150215526592348,0.058960840730082176
3,effective_n_long,49.526054590570716,49.78125,0.25519540942928387
3,effective_n_short,49.583126550868485,49.8125,0.22937344913151492
3,max_abs_weight,0.1,0.010869565217391304,-0.08913043478260871
3,mean_eligible_names,246.87841191066997,248.22916666666666,1.3507547559966895
3,signal_age_median_sessions,5.0,7.0,2.0
3,signal_age_p95_sessions,5.0,9.0,4.0
3,signal_age_max_sessions,1935.0,644.0,-1291.0
3,share_signals_older_than_nominal,0.021599726611184818,0.007679395719681075,-0.013920330891503744
3,net_sharpe_1bp,0.4231138188681637,0.745574278195189,0.3224604593270253
3,cost_share_of_gross_1bp,0.14006026780698294,0.03404249566090872,-0.10601777214607422
3,net_sharpe_3bp,0.40223351916409944,0.7369257356232661,0.3346922164591667
3,cost_share_of_gross_3bp,0.18248498382229486,0.04521062034907507,-0.1372743634732198
3,net_sharpe_5bp,0.38135291089257,0.7282775710834977,0.34692466019092766
3,cost_share_of_gross_5bp,0.22490969983760684,0.056378745037241426,-0.1685309548003654
3,cost_share_of_gross_10bp,0.3309714898758867,0.0842990567576573,-0.2466724331182294
3,net_sharpe_20bp,0.22475427256177266,0.6634294246912019,0.43867515212942926
3,cost_share_of_gross_20bp,0.5430950699524465,0.14013968019848902,-0.4029553897539575
4,rebalances,403.0,96.0,-307.0
4,scheduled_rebalances,403.0,96.0,-307.0
4,gross_sharpe,0.6144174503839931,0.6549019115636916,0.040484461179698505
4,net_sharpe_10bp,0.496367513265907,0.6105724274314556,0.11420491416554857
4,annualised_turnover,6.873792272243885,2.341479591836735,-4.53231268040715
4,cost_share_of_gross,0.1918438182998788,0.0675311635140964,-0.12431265478578239
4,net_max_drawdown,-0.11890494669480423,-0.1313444838329958,-0.01243953713819157
4,gross_max_drawdown,-0.11861379656032411,-0.12589814055350323,-0.007284343993179121
4,gross_total_return,0.8957162876190637,0.8361497832547683,-0.05956650436429545
4,net_total_return,0.8342082008647869,0.992666831483985,0.15845863061919818
4,gross_cagr,0.10222800825084155,0.09767987797651179,-0.004548130274329765
4,net_cagr,0.07881610667588679,0.09000712426016877,0.011191017584281981
4,holding_duration_rebalances,7.438042011948352,4.855629877369008,-2.582412134579344
4,holding_duration_sessions,37.19021005974176,101.96822742474917,64.77801736500741
4,names_changed_per_rebalance,12.907960199004975,18.88421052631579,5.976250327310815
4,long_leg_retention,0.8721573001656914,0.8308033768841293,-0.041353923281562066
4,short_leg_retention,0.8642587000650935,0.7899609038123256,-0.07429779625276789
4,names_replaced_both_legs_fraction,0.13179199988460769,0.18961785965177252,0.05782585976716484
4,effective_n_long,49.526054590570716,49.78125,0.25519540942928387
