arm,seed,mean_rank_ic,hac_t_stat,ic_ir,positive_fold_count,worst_fold_ic,covered_mean_rank_ic,covered_rows,b1_step_sessions,b1_rebalances,b1_scheduled_rebalances,b1_gross_sharpe,b1_net_sharpe_10bp,b1_annualised_turnover,b1_cost_share_of_gross,b1_net_max_drawdown,b1_gross_max_drawdown,b1_gross_total_return,b1_net_total_return,b1_gross_cagr,b1_net_cagr,b1_holding_duration_rebalances,b1_holding_duration_sessions,b1_names_changed_per_rebalance,b1_long_leg_retention,b1_short_leg_retention,b1_names_replaced_both_legs_fraction,b1_effective_n_long,b1_effective_n_short,b1_max_abs_weight,b1_mean_eligible_names,b1_signal_age_median_sessions,b1_signal_age_p95_sessions,b1_signal_age_max_sessions,b1_share_signals_older_than_nominal,b1_nominal_max_signal_age,b1_net_sharpe_1bp,b1_cost_share_of_gross_1bp,b1_net_sharpe_3bp,b1_cost_share_of_gross_3bp,b1_net_sharpe_5bp,b1_cost_share_of_gross_5bp,b1_cost_share_of_gross_10bp,b1_net_sharpe_20bp,b1_cost_share_of_gross_20bp
E3,0,0.031724789908119014,2.748577954833387,0.23169484373374713,7,-0.04516721207529002,0.027450039299160976,88949,21,96,96,0.6395973577527791,0.5782037817460336,2.2915561224489798,0.09610314384011655,-0.19594229940351637,-0.1914693168421583,0.5739185754555773,0.6001181762528136,0.06782078240430156,0.060520352051334214,4.928734321550741,103.50342075256556,18.46315789473684,0.8343744624876582,0.7947393250206258,0.18544310624585778,49.78125,49.8125,0.010869565217391304,248.22916666666666,7.0,9.0,644,0.007679395719681075,9,0.6149095671305934,0.038606471708410174,0.6067539132954047,0.05138350995990047,0.598597572813276,0.06416054821139078,0.09610314384011655,0.5374041205643498,0.15998833509756805
E3,1,0.03254103488140071,3.029280932125739,0.2461887410364014,7,-0.02985839390341559,0.02976454139585626,88949,21,96,96,0.5513121563117435,0.4896306043970615,2.2590306122448975,0.11208331517568988,-0.15705208183108565,-0.15246215535284902,0.48588403687602366,0.4699030410592395,0.05646450712887652,0.049327575795615974,4.940393518518518,103.74826388888889,18.189473684210526,0.8394500666228807,0.7952055838353648,0.1826721747708772,49.78125,49.8125,0.010869565217391304,248.22916666666666,7.0,9.0,644,0.007679395719681075,9,0.5264394528914681,0.04513310000608394,0.51826140219747,0.06001092559932971,0.510082375764166,0.07488875119257547,0.11208331517568988,0.4487095544506383,0.18647244314191871
E3,2,0.03324570090681719,2.9715623730243323,0.2447940482229048,7,-0.04478342345335266,0.03046397462676408,88949,21,96,96,0.6094936738196002,0.5498217127874832,2.2764030612244897,0.09803320251378636,-0.23483608076522622,-0.23059150166770026,0.5600031665043459,0.5755556609443961,0.06572485097536629,0.05847162171960463,4.986222732491389,104.71067738231918,18.33684210526316,0.8371115188857569,0.7945859524587866,0.18415126432772821,49.78125,49.8125,0.010869565217391304,248.22916666666666,7.0,9.0,644,0.007679395719681075,9,0.5854243251023695,0.03949745478533443,0.5775138319149136,0.05250539872499041,0.5696026469042074,0.0655133426646464,0.09803320251378636,0.5102475559764892,0.16307292221206626
E3,3,0.03383635244800336,3.0173985942710915,0.2515080048762947,7,-0.03582636269713331,0.029778772358144884,88949,21,96,96,0.4990549472174304,0.42618726363769965,2.2915051020408166,0.14626832655398478,-0.17422480065885482,-0.1697235670271563,0.3780399540117717,0.33411772365795933,0.04385697132060762,0.03669085912510561,4.936145952109464,103.65906499429875,18.46315789473684,0.837129980693772,0.7920062423138591,0.18543188849618428,49.78125,49.8125,0.010869565217391304,248.22916666666666,7.0,9.0,644,0.007679395719681075,9,0.4696833434601997,0.05898212011147675,0.4600192666449502,0.07837905487647855,0.450354193540754,0.09777598964148033,0.14626832655398478,0.37783610650234034,0.24325300037899375
E3,4,0.029904491284393243,2.6687415097805802,0.2165860498761542,7,-0.035855378696816056,0.02578100764398793,88949,21,96,96,0.5972766171856929,0.5366106317865701,2.277780612244898,0.10165849712030516,-0.17134276091395395,-0.166811943182272,0.5400907578284078,0.5460692272451955,0.06321393741646908,0.055974952661590915,4.924268502581755,103.40963855421687,18.347368421052632,0.836045056145054,0.7953983872725291,0.18427827829120838,49.78125,49.8125,0.010869565217391304,248.22916666666666,7.0,9.0,644,0.007679395719681075,9,0.5728242417927691,0.04092788779047946,0.56477784925626,0.054423578752662946,0.5567308337900381,0.06791926971484645,0.10165849712030516,0.4963593156536537,0.1691369519312226
E3,5,0.03265008920621212,2.9166522059591116,0.2429293467088979,7,-0.04591260257945498,0.03017487479405036,88949,21,96,96,0.45910446331037247,0.413684871568653,2.2841071428571427,0.09893261179863026,-0.19551269807457816,-0.19104533351113528,0.556328648844459,0.5221740692471435,0.06116770245344427,0.05392095569169797,4.924485125858124,103.4141876430206,18.4,0.8377344810751605,0.7926703170970905,0.18479760091387445,49.78125,49.8125,0.010869565217391304,248.22916666666666,7.0,9.0,644,0.007679395719681075,9,0.44082371847335,0.03981082663538096,0.4347930627586434,0.052949001116103026,0.42876229019989975,0.0660871755968251,0.09893261179863026,0.3835281401368284,0.16462348420224057
E3,6,0.030344441395495674,2.696956278032896,0.22719961748387527,6,-0.04691735311644103,0.027089643677002423,88949,21,96,96,0.567199562541019,0.4971561278497318,2.316632653061225,0.12355716388105094,-0.1711677462578679,-0.16268881520880307,0.4518994503296002,0.4304117337057247,0.05305806003764291,0.045761461192106445,4.790304396843292,100.59639233370913,18.673684210526314,0.8345538280748785,0.7903421753140611,0.18755199830552988,49.78125,49.8125,0.010869565217391304,248.22916666666666,7.0,9.0,644,0.007679395719681075,9,0.538968750716299,0.049736515991901424,0.5296783482264293,0.06614110441171242,0.5203871961537275,0.08254569283152342,0.12355716388105094,0.45068106764752197,0.20558010598010595
E3,7,0.02824604701742122,2.513051254986226,0.20801638442164253,6,-0.043547188242088516,0.023403105702011828,88949,21,96,96,0.4711319214257463,0.4091043464005539,2.2927551020408163,0.13169767557502146,-0.18916250307921978,-0.18075617341670303,0.41921603637263694,0.37231572571016636,0.047537048430402296,0.04035547012556884,5.0005698005698,105.01196581196581,18.473684210526315,0.8366809077007307,0.7922796976914335,0.18551969730391787,49.78125,49.8125,0.010869565217391304,248.22916666666666,7.0,9.0,644,0.007679395719681075,9,0.44618178920563695,0.052941925305867964,0.4379430696037017,0.07044320314345762,0.429703935014718,0.08794448098104728,0.13169767557502146,0.36789817372284755,0.21920406476296972
E3,8,0.030865822384904654,2.8375199825295434,0.2337256604255784,6,-0.04602436050432476,0.027786381690013018,88949,21,96,96,0.5419994984069084,0.4773020784340943,2.2767857142857144,0.11961737824125818,-0.19079841157583,-0.18652639846774355,0.4592103887850391,0.4350872415632523,0.053366476238402516,0.04618812926006077,4.919058553386912,103.30022962112515,18.33684210526316,0.8381783158172954,0.7934593860427465,0.184181149069979,49.78125,49.8125,0.010869565217391304,248.22916666666666,7.0,9.0,644,0.007679395719681075,9,0.5159022322297798,0.048221532053071,0.5073262012294631,0.06408727565044595,0.49874914318378427,0.07995301924782086,0.11961737824125818,0.4343896050549014,0.1989460962281328
E3,9,0.033291538149151804,2.862330027877382,0.23641467103883518,7,-0.04522737963790817,0.030140178447183818,88949,21,96,96,0.6130666643896729,0.5533040410681603,2.2991326530612244,0.09749810603128535,-0.1705193695695535,-0.1658116931749496,0.5679028646410705,0.5858352494994896,0.06665514284347451,0.059332406979891505,4.915909090909091,103.23409090909091,18.526315789473685,0.8375467607170426,0.7903408754806271,0.18605618190116496,49.78125,49.8125,0.010869565217391304,248.22916666666666,7.0,9.0,644,0.007679395719681075,9,0.5890141181487247,0.03920026626777854,0.5810792305729497,0.05215534177078005,0.5731439445043645,0.06511041727378157,0.09749810603128535,0.5136174453813762,0.16227348354629292
