comparison,seed,metric,base,rich,difference
model_value_baseline,8,b1_cost_share_of_gross,0.5726763204073363,0.09479834711616576,-0.47787797329117054
model_value_baseline,8,positive_fold_count,6.0,6.0,0.0
model_value_baseline,9,mean_rank_ic,0.005329437332440931,0.034525153325974015,0.029195715993533083
model_value_baseline,9,b1_net_sharpe_10bp,0.034861585882667405,0.40669768593557387,0.37183610005290646
model_value_baseline,9,b1_gross_sharpe,0.08159770854406845,0.4704964495454175,0.3888987410013491
model_value_baseline,9,b1_annualised_turnover,2.216326530612245,2.325204081632653,0.10887755102040808
model_value_baseline,9,b1_net_max_drawdown,-0.31613642973254186,-0.15027046351929396,0.1658659662132479
model_value_baseline,9,b1_cost_share_of_gross,0.5726763204073363,0.13534335079663437,-0.4373329696107019
model_value_baseline,9,positive_fold_count,6.0,6.0,0.0
model_value_rich,0,mean_rank_ic,0.01488409905175374,0.031724789908119014,0.016840690856365276
model_value_rich,0,b1_net_sharpe_10bp,-0.3427234667281637,0.5782037817460336,0.9209272484741973
model_value_rich,0,b1_gross_sharpe,-0.2558497573479378,0.6395973577527791,0.895447115100717
model_value_rich,0,b1_annualised_turnover,2.291530612244898,2.2915561224489798,2.5510204081591326e-05
model_value_rich,0,b1_net_max_drawdown,-0.3164351957972942,-0.19594229940351637,0.1204928963937778
model_value_rich,0,positive_fold_count,7.0,7.0,0.0
model_value_rich,1,mean_rank_ic,0.01488409905175374,0.03254103488140071,0.017656935829646975
model_value_rich,1,b1_net_sharpe_10bp,-0.3427234667281637,0.4896306043970615,0.8323540711252252
model_value_rich,1,b1_gross_sharpe,-0.2558497573479378,0.5513121563117435,0.8071619136596813
model_value_rich,1,b1_annualised_turnover,2.291530612244898,2.2590306122448975,-0.03250000000000064
model_value_rich,1,b1_net_max_drawdown,-0.3164351957972942,-0.15705208183108565,0.15938311396620852
model_value_rich,1,positive_fold_count,7.0,7.0,0.0
model_value_rich,2,mean_rank_ic,0.01488409905175374,0.03324570090681719,0.01836160185506345
model_value_rich,2,b1_net_sharpe_10bp,-0.3427234667281637,0.5498217127874832,0.8925451795156468
model_value_rich,2,b1_gross_sharpe,-0.2558497573479378,0.6094936738196002,0.865343431167538
model_value_rich,2,b1_annualised_turnover,2.291530612244898,2.2764030612244897,-0.015127551020408525
model_value_rich,2,b1_net_max_drawdown,-0.3164351957972942,-0.23483608076522622,0.08159911503206796
model_value_rich,2,positive_fold_count,7.0,7.0,0.0
model_value_rich,3,mean_rank_ic,0.01488409905175374,0.03383635244800336,0.01895225339624962
model_value_rich,3,b1_net_sharpe_10bp,-0.3427234667281637,0.42618726363769965,0.7689107303658633
model_value_rich,3,b1_gross_sharpe,-0.2558497573479378,0.4990549472174304,0.7549047045653682
model_value_rich,3,b1_annualised_turnover,2.291530612244898,2.2915051020408166,-2.5510204081591326e-05
model_value_rich,3,b1_net_max_drawdown,-0.3164351957972942,-0.17422480065885482,0.14221039513843936
model_value_rich,3,positive_fold_count,7.0,7.0,0.0
model_value_rich,4,mean_rank_ic,0.01488409905175374,0.029904491284393243,0.015020392232639504
model_value_rich,4,b1_net_sharpe_10bp,-0.3427234667281637,0.5366106317865701,0.8793340985147338
model_value_rich,4,b1_gross_sharpe,-0.2558497573479378,0.5972766171856929,0.8531263745336307
model_value_rich,4,b1_annualised_turnover,2.291530612244898,2.277780612244898,-0.013750000000000373
model_value_rich,4,b1_net_max_drawdown,-0.3164351957972942,-0.17134276091395395,0.14509243488334023
model_value_rich,4,positive_fold_count,7.0,7.0,0.0
model_value_rich,5,mean_rank_ic,0.01488409905175374,0.03265008920621212,0.01776599015445838
model_value_rich,5,b1_net_sharpe_10bp,-0.3427234667281637,0.413684871568653,0.7564083382968168
model_value_rich,5,b1_gross_sharpe,-0.2558497573479378,0.45910446331037247,0.7149542206583103
model_value_rich,5,b1_annualised_turnover,2.291530612244898,2.2841071428571427,-0.00742346938775551
model_value_rich,5,b1_net_max_drawdown,-0.3164351957972942,-0.19551269807457816,0.12092249772271602
model_value_rich,5,positive_fold_count,7.0,7.0,0.0
model_value_rich,6,mean_rank_ic,0.01488409905175374,0.030344441395495674,0.015460342343741934
model_value_rich,6,b1_net_sharpe_10bp,-0.3427234667281637,0.4971561278497318,0.8398795945778954
model_value_rich,6,b1_gross_sharpe,-0.2558497573479378,0.567199562541019,0.8230493198889568
model_value_rich,6,b1_annualised_turnover,2.291530612244898,2.316632653061225,0.02510204081632672
model_value_rich,6,b1_net_max_drawdown,-0.3164351957972942,-0.1711677462578679,0.14526744953942627
model_value_rich,6,positive_fold_count,7.0,6.0,-1.0
model_value_rich,7,mean_rank_ic,0.01488409905175374,0.02824604701742122,0.01336194796566748
model_value_rich,7,b1_net_sharpe_10bp,-0.3427234667281637,0.4091043464005539,0.7518278131287175
model_value_rich,7,b1_gross_sharpe,-0.2558497573479378,0.4711319214257463,0.726981678773684
model_value_rich,7,b1_annualised_turnover,2.291530612244898,2.2927551020408163,0.00122448979591816
model_value_rich,7,b1_net_max_drawdown,-0.3164351957972942,-0.18916250307921978,0.1272726927180744
model_value_rich,7,positive_fold_count,7.0,6.0,-1.0
model_value_rich,8,mean_rank_ic,0.01488409905175374,0.030865822384904654,0.015981723333150913
model_value_rich,8,b1_net_sharpe_10bp,-0.3427234667281637,0.4773020784340943,0.820025545162258
model_value_rich,8,b1_gross_sharpe,-0.2558497573479378,0.5419994984069084,0.7978492557548462
model_value_rich,8,b1_annualised_turnover,2.291530612244898,2.2767857142857144,-0.014744897959183767
model_value_rich,8,b1_net_max_drawdown,-0.3164351957972942,-0.19079841157583,0.12563678422146418
model_value_rich,8,positive_fold_count,7.0,6.0,-1.0
model_value_rich,9,mean_rank_ic,0.01488409905175374,0.033291538149151804,0.018407439097398066
model_value_rich,9,b1_net_sharpe_10bp,-0.3427234667281637,0.5533040410681603,0.896027507796324
model_value_rich,9,b1_gross_sharpe,-0.2558497573479378,0.6130666643896729,0.8689164217376107
